,x,y,a,b,e,f
178,179,2000,162,1783,1137,273
179,180,2000,1871,1213,1992,161
180,181,2000,1808,1062,881,874
181,182,2000,1972,328,1102,1781
182,183,2000,1473,1373,270,878
183,184,2000,1281,324,699,660
184,185,2000,413,1188,1775,1230
185,186,2000,976,605,911,201
186,187,2000,1661,1121,1735,933
187,188,2000,1023,392,480,1592
188,189,2000,112,1119,1639,1078
189,190,2000,760,1654,1630,830
190,191,2000,1040,955,1851,1825
191,192,2000,1899,469,771,13
192,193,2000,647,355,1231,414
193,194,2000,613,790,1615,244
194,195,2000,277,1771,1111,1009
195,196,2000,1176,1264,101,937
196,197,2000,84,1062,1395,1767
197,198,2000,1871,331,723,49
198,199,2000,1058,1868,2000,1893
199,200,2000,1616,1662,490,828
200,201,2000,697,1349,1195,1552
201,202,2000,1592,556,879,1403
202,203,2000,487,248,732,1246
203,204,2000,1703,683,1112,255
204,205,1993,1483,258,448,55
205,206,1986,1770,223,1148,888
206,207,1960,473,54,1736,1866
207,208,1932,678,1305,1719,1168
208,209,1919,507,1861,298,1349
209,210,1902,1586,1462,681,1522
210,211,1891,250,354,1003,834
211,212,1876,886,762,1257,1877
212,213,1850,358,524,340,1233
213,214,1841,1245,2000,671,81
214,215,1823,526,308,1984,1517
215,216,1813,1780,1233,91,1095
216,217,1788,558,1933,464,834
217,218,1770,1977,1217,847,1325
218,219,1757,1001,1322,1550,441
219,220,1747,23,306,615,906
220,221,1730,1696,1112,31,1563
221,222,1713,1006,464,805,333
222,223,1685,720,1215,381,607
223,224,1659,1906,1443,869,198
224,225,1646,1768,396,1131,621
225,226,1616,187,1627,1125,1346
226,227,1602,1489,816,1924,1923
227,228,1583,824,1093,169,1582
228,229,1560,1153,876,975,1346
229,230,1533,1134,662,321,330
230,231,1524,960,896,1217,1232
231,232,1513,382,1635,1631,1158
232,233,1485,578,1452,1562,1137
233,234,1464,1155,274,1678,1733
234,235,1442,1577,1366,1694,1544
235,236,1431,1672,1866,1099,1313
236,237,1420,1000,388,1742,1893
237,238,1398,939,728,177,1450
238,239,1375,904,1449,846,80
239,240,1348,193,203,1517,1641
240,241,1319,701,709,1743,1496
241,242,1290,1801,1725,904,1768
242,243,1269,1694,721,1183,996
243,244,1254,224,848,1991,1863
244,245,1226,1640,1913,635,1477
245,246,1217,124,317,626,1715
246,247,1196,1880,288,16,1447
247,248,1189,451,2,1712,808
248,249,1165,60,1929,1403,940
249,250,1152,1293,53,723,1791
250,251,1130,1287,1474,79,810
251,252,1121,1179,49,1311,731
252,253,1109,1760,1779,438,1856
253,254,1098,1408,791,242,1915
254,255,1084,1671,513,320,265
255,256,1072,569,1368,751,4
256,257,1059,1767,728,42,1515
257,258,1048,1586,221,1210,390
258,259,1040,633,1982,1288,1393
259,260,1027,729,1579,1764,1451
260,261,1012,1874,1920,786,1389
261,262,1002,425,603,1969,2000
262,263,982,1877,1857,494,1836
263,264,975,933,658,1684,897
264,265,967,972,1557,1970,1787
265,266,937,111,1451,10,1033
266,267,917,1777,899,1320,1904
267,268,891,1635,1726,1714,69
268,269,886,453,827,1766,1012
269,270,865,865,1397,445,1156
270,271,845,1401,1415,1008,21
271,272,836,1096,1401,1013,1242
272,273,816,1736,625,1397,250
273,274,802,360,1599,358,908
274,275,790,1448,1372,106,1845
275,276,783,381,1680,971,767
276,277,768,1213,1086,1837,1687
277,278,747,713,1816,616,1792
278,279,734,1559,378,1414,1480
279,280,728,719,1844,1103,935
280,281,714,769,537,113,217
281,282,686,466,274,1431,1000
282,283,672,1106,1161,1407,948
283,284,666,386,297,184,774
284,285,657,133,1451,1563,1509
285,286,646,37,148,700,1400
286,287,616,901,1188,1955,517
287,288,600,1133,900,1273,333
288,289,581,1110,934,1235,58
289,290,566,412,1183,1411,1915
290,291,547,980,790,196,691
291,292,522,1317,508,106,382
292,293,513,97,862,1699,560
293,294,491,1408,1722,1237,608
294,295,481,186,106,6,1251
295,296,474,983,604,306,106
296,297,462,1095,1737,434,1009
297,298,436,1897,1715,858,1911
298,299,420,326,135,1445,1475
299,300,415,1285,1845,1328,873
300,301,395,1505,181,1594,89
301,302,367,546,372,1231,512
302,303,343,1462,991,1607,764
303,304,327,180,1340,482,161
304,305,309,33,1267,917,1358
305,306,294,1277,1341,1450,1255
306,307,279,1804,360,967,1447
307,308,252,1010,961,1873,1411
308,309,224,1320,838,939,799
309,310,200,545,989,643,46
310,311,190,1030,1691,744,435
311,312,164,1651,250,245,535
312,313,156,1309,78,628,923
313,314,135,168,1464,1393,1001
314,315,117,889,288,1726,78
315,316,103,541,1812,1598,893
316,317,87,1814,1935,1511,341
317,318,80,591,1274,1920,1971
318,319,71,1474,1345,1265,773
319,320,48,1242,1495,1304,1526
320,321,38,1494,1477,1157,1910
321,322,31,1820,1144,380,831
322,323,1,770,1532,1813,547
323,324,0,1045,807,1063,512
324,325,0,776,942,166,1750
325,326,0,354,1111,964,1584
326,327,0,514,268,37,754
327,328,0,250,179,1443,1735
328,329,0,359,812,1368,1365
329,330,0,1418,805,1429,885
330,331,0,1799,253,1399,305
331,332,0,1478,363,1227,1263
332,333,0,1563,1593,1911,33
333,334,0,950,694,559,383
334,335,0,324,352,1445,1395
335,336,0,790,797,1538,717
336,337,0,1933,1999,1735,42
337,338,0,1434,808,1518,941
338,339,0,1344,1229,817,58
339,340,0,495,1441,23,1623
340,341,0,404,270,507,513
341,342,0,1648,235,1668,397
342,343,0,1854,1985,955,323
343,344,0,1401,1088,1902,520
344,345,0,1286,1920,1167,1150
345,346,0,1674,943,1100,1827
346,347,0,401,1862,357,851
347,348,0,481,124,816,1455
348,349,0,1360,365,1265,803
349,350,0,1334,370,1335,267
350,351,0,588,204,704,1282
351,352,0,203,1262,173,1512
352,353,0,148,770,183,1689
353,354,0,541,855,733,1908
354,355,0,1949,955,976,1029
355,356,0,468,1003,1705,135
356,357,0,1753,1658,1531,446
357,358,0,1344,405,518,243
358,359,0,92,148,462,922
359,360,0,570,1263,1182,1720
360,361,0,1906,1183,483,1593
361,362,0,590,584,1404,522
362,363,0,312,1058,1258,246
363,364,0,1263,162,1155,1582
364,365,0,1387,601,1631,422
365,366,0,1146,1594,959,1737
366,367,0,639,502,84,1802
367,368,0,388,393,266,1773
368,369,0,1210,491,780,166
369,370,0,708,237,551,1958
370,371,0,1108,69,1055,778
371,372,0,263,1469,950,1144
372,373,0,898,687,1583,1906
373,374,0,894,194,512,828
374,375,0,1733,1503,1078,591
375,376,0,301,60,1313,1771
376,377,0,54,518,562,1171
377,378,0,793,1728,228,827
378,379,0,1957,780,1674,433
379,380,25,1431,760,1401,911
380,381,30,1934,1714,370,276
381,382,44,911,463,317,1260
382,383,50,144,837,747,790
383,384,64,864,198,927,1596
384,385,80,186,873,1029,1777
385,386,89,803,28,1225,1952
386,387,102,365,815,110,1884
387,388,126,235,641,114,1864
388,389,136,1724,341,206,1631
389,390,153,690,1323,918,234
390,391,163,1410,1719,1162,236
391,392,180,1971,783,839,1152
392,393,205,1707,1359,1674,984
393,394,211,941,739,1762,498
394,395,239,283,1619,1672,1761
395,396,266,751,1255,1810,502
396,397,294,439,237,1398,76
397,398,299,1466,1985,69,344
398,399,329,1108,1492,953,1788
399,400,342,195,1554,714,1815
400,401,368,9,189,175,853
401,402,397,1228,890,654,1923
402,403,404,1045,1406,139,1141
403,404,429,1473,424,1120,1611
404,405,434,284,464,493,1124
405,406,451,327,294,616,1143
406,407,464,972,725,1952,1359
407,408,470,572,1922,352,709
408,409,482,125,311,712,1899
409,410,509,1320,1458,1473,1919
410,411,522,925,412,722,1980
411,412,539,1229,864,1526,1748
412,413,568,693,649,1836,1514
413,414,586,302,326,14,1893
414,415,605,1722,1724,1385,1890
415,416,628,1574,1444,1777,1631
416,417,606,420,507,348,112
417,418,577,278,1081,837,1369
418,419,566,1516,636,1586,1914
419,420,545,1416,1260,496,1477
420,421,534,1508,284,111,1299
421,422,507,1191,1465,956,703
422,423,483,275,1058,949,23
423,424,463,573,150,340,147
424,425,457,531,1007,778,870
425,426,448,290,844,1514,1763
426,427,442,548,1983,1513,1285
427,428,431,702,25,1471,732
428,429,421,534,511,612,645
429,430,395,1625,574,1542,1135
430,431,384,585,1002,1598,542
431,432,379,155,35,361,1207
432,433,364,757,1738,1280,183
433,434,357,1560,187,1764,1522
434,435,332,666,270,1504,1700
435,436,303,1311,526,1040,1247
436,437,276,503,978,1774,499
437,438,249,1580,610,1660,913
438,439,233,1664,83,160,1836
439,440,221,1697,969,43,843
440,441,191,1303,1365,1981,531
441,442,163,1736,926,1918,1148
442,443,142,941,1791,1505,1180
443,444,116,1773,759,376,1932
444,445,92,657,230,1739,151
445,446,71,1062,224,480,1188
446,447,64,68,241,1292,624
447,448,53,17,843,247,31
448,449,37,553,87,1481,1206
449,450,11,630,29,1391,124
450,451,0,656,825,637,699
451,452,0,252,1024,650,1040
452,453,0,1938,2000,314,836
453,454,0,923,1830,1818,506
454,455,0,1362,83,504,948
455,456,0,1410,1639,952,1413
456,457,0,830,641,895,577
457,458,0,1489,874,752,919
458,459,0,141,1520,1188,1076
459,460,0,746,1433,1483,1493
460,461,0,319,138,419,1743
461,462,0,1404,1949,1909,932
462,463,0,237,1320,1454,798
463,464,0,819,1059,694,1614
464,465,0,1247,613,817,1880
465,466,0,545,515,1083,485
466,467,0,660,72,1490,1313
467,468,0,246,381,1456,1034
468,469,0,335,1551,1801,388
469,470,0,973,462,1223,433
470,471,0,1692,185,905,550
471,472,0,1144,1400,1781,650
472,473,0,1215,1872,350,1904
473,474,9,1547,938,8,1575
474,475,22,1083,1175,1724,253
475,476,40,528,1083,822,1361
476,477,46,107,832,1175,342
477,478,69,548,189,37,1495
478,479,95,1374,839,1538,774
479,480,120,1085,327,42,663
480,481,145,1014,590,1680,1402
481,482,153,1159,1976,1987,1476
482,483,170,1204,914,1821,1034
483,484,183,1750,1989,641,1409
484,485,193,1962,206,142,1361
485,486,208,1399,1181,738,1802
486,487,220,908,1637,799,867
487,488,232,420,1431,1527,1162
488,489,258,876,949,995,913
489,490,269,1423,1968,34,1957
490,491,291,796,1249,1225,1101
491,492,304,1509,869,1684,897
492,493,323,734,708,760,1405
493,494,332,479,1094,1538,1955
494,495,362,1171,862,1606,276
495,496,369,1072,529,805,611
496,497,384,444,267,1713,1406
497,498,398,1411,674,1146,36
498,499,422,66,320,1493,988
499,500,435,96,1534,317,1975
